participant,channel,reference_trial,maximum_mV,reference_selection
C03,r_recfem,trial_49b3331954,0.6695219547661792,participant_dynamic_maximum
C03,r_semiten,trial_5946ca5426,0.2676510339371256,participant_dynamic_maximum
C03,r_soleus,trial_49b3331954,0.5795764762549035,participant_dynamic_maximum
C03,r_tfl,trial_5946ca5426,0.3673954477890463,participant_dynamic_maximum
C03,r_tibant,trial_5946ca5426,0.2817313814221148,participant_dynamic_maximum
C03,r_vaslat,trial_49b3331954,0.7037437936147553,participant_dynamic_maximum
C03,r_vasmed,trial_49b3331954,0.8092326783417291,participant_dynamic_maximum
C04,l_add,trial_f1bf10eeea,0.1500311062562266,participant_dynamic_maximum
C04,l_bflh,trial_b4af0473c9,0.2056755269405825,participant_dynamic_maximum
C04,l_glmax,trial_f1bf10eeea,0.1319958908605826,participant_dynamic_maximum
C04,l_glmed,trial_49b3331954,0.2214009488128743,participant_dynamic_maximum
C04,l_latgas,trial_f1bf10eeea,0.3266352375867074,participant_dynamic_maximum
C04,l_medgas,trial_f1bf10eeea,0.3321982846869523,participant_dynamic_maximum
C04,l_recfem,trial_b4af0473c9,0.3369147790681427,participant_dynamic_maximum
C04,l_semiten,trial_f1bf10eeea,0.2442679694967388,participant_dynamic_maximum
C04,l_soleus,trial_b4af0473c9,0.3313740300499337,participant_dynamic_maximum
C04,l_tfl,trial_5946ca5426,0.1320902012309465,participant_dynamic_maximum
C04,l_tibant,trial_f1bf10eeea,0.3462194456522273,participant_dynamic_maximum
C04,l_vaslat,trial_ffc10db23f,0.4604680745205022,participant_dynamic_maximum
C04,l_vasmed,trial_b4af0473c9,0.6605377693692429,participant_dynamic_maximum
C04,r_bflh,trial_f1bf10eeea,0.1600114792294977,participant_dynamic_maximum
C04,r_glmax,trial_49b3331954,0.1078561103477776,participant_dynamic_maximum
C04,r_glmed,trial_b4af0473c9,0.0757642290248689,participant_dynamic_maximum
C04,r_latgas,trial_49b3331954,0.3057044568316441,participant_dynamic_maximum
C04,r_medgas,trial_f1bf10eeea,0.3231161416981228,participant_dynamic_maximum
C04,r_recfem,trial_78cba2c582,0.3719021580693155,participant_dynamic_maximum
C04,r_semiten,trial_b4af0473c9,0.4826923801774606,participant_dynamic_maximum
C04,r_soleus,trial_b4af0473c9,0.3307250499879653,participant_dynamic_maximum
C04,r_tfl,trial_f1bf10eeea,0.5242225194539695,participant_dynamic_maximum
C04,r_tibant,trial_ffc10db23f,0.4993126522431317,participant_dynamic_maximum
C04,r_vaslat,trial_b4af0473c9,0.4351908790425625,participant_dynamic_maximum
C04,r_vasmed,trial_f1bf10eeea,0.3246414324033067,participant_dynamic_maximum
C05,l_add,trial_f1bf10eeea,0.1690561184433152,participant_dynamic_maximum
C05,l_bflh,trial_ffc10db23f,0.2771737622937565,participant_dynamic_maximum
C05,l_glmax,trial_f1bf10eeea,0.2832882341690128,participant_dynamic_maximum
C05,l_glmed,trial_ffc10db23f,0.2506402275100173,participant_dynamic_maximum
C05,l_latgas,trial_ffc10db23f,0.3671107722677801,participant_dynamic_maximum
C05,l_medgas,trial_f1bf10eeea,0.4279860777299039,participant_dynamic_maximum
C05,l_recfem,trial_f1bf10eeea,0.3216392410993128,participant_dynamic_maximum
C05,l_semiten,trial_f1bf10eeea,0.2798806866988934,participant_dynamic_maximum
C05,l_soleus,trial_78cba2c582,0.5909713611722704,participant_dynamic_maximum
C05,l_tfl,trial_49b3331954,0.1662186925803277,participant_dynamic_maximum
C05,l_tibant,trial_f1bf10eeea,0.3909007587234238,participant_dynamic_maximum
C05,l_vaslat,trial_49b3331954,1.1072983800523917,participant_dynamic_maximum
C05,l_vasmed,trial_ffc10db23f,0.4192592840749273,participant_dynamic_maximum
C05,r_bflh,trial_87e976b769,0.2053768293566502,participant_dynamic_maximum
C05,r_glmax,trial_b4af0473c9,0.1544968912155944,protocol_or_qc_override
C05,r_glmed,trial_ffc10db23f,0.1312352500876997,participant_dynamic_maximum
C05,r_latgas,trial_a88f4ef7a5,0.307807620979122,participant_dynamic_maximum
C05,r_medgas,trial_b4af0473c9,0.1590375388873385,participant_dynamic_maximum
C05,r_recfem,trial_a88f4ef7a5,0.4192323921674407,participant_dynamic_maximum
C05,r_semiten,trial_f1bf10eeea,0.5414158571695499,participant_dynamic_maximum
C05,r_soleus,trial_78cba2c582,0.444917037008294,participant_dynamic_maximum
C05,r_tfl,trial_5946ca5426,0.2055332621995291,participant_dynamic_maximum
C05,r_tibant,trial_ffc10db23f,0.3210327792269537,participant_dynamic_maximum
C05,r_vaslat,trial_87e976b769,0.4185675778252004,participant_dynamic_maximum
C05,r_vasmed,trial_87e976b769,0.6815855951803093,participant_dynamic_maximum
C06,l_add,trial_56af8361a5,0.2223767955434085,participant_dynamic_maximum
C06,l_bflh,trial_f1bf10eeea,0.2758393896836495,participant_dynamic_maximum
C06,l_glmax,trial_b4af0473c9,0.1117768476218358,participant_dynamic_maximum
C06,l_glmed,trial_b4af0473c9,0.1423559505859696,participant_dynamic_maximum
C06,l_latgas,trial_49b3331954,0.2780746023704419,participant_dynamic_maximum
C06,l_medgas,trial_56af8361a5,0.3525018430681454,participant_dynamic_maximum
C06,l_recfem,trial_49b3331954,0.3882437695534502,participant_dynamic_maximum
