participant,trial,path,samples,channels
C04,trial_a11b0b087c,C04/trial_a11b0b087c/reference_normalised_envelope.parquet,62470,25
C04,trial_2723563132,C04/trial_2723563132/reference_normalised_envelope.parquet,52130,25
C04,trial_a76018c70a,C04/trial_a76018c70a/reference_normalised_envelope.parquet,58830,25
C04,trial_29d57eee5a,C04/trial_29d57eee5a/reference_normalised_envelope.parquet,56430,25
C04,trial_a88f4ef7a5,C04/trial_a88f4ef7a5/reference_normalised_envelope.parquet,19740,25
C04,trial_78cba2c582,C04/trial_78cba2c582/reference_normalised_envelope.parquet,7710,25
C04,trial_13bd18cdf3,C04/trial_13bd18cdf3/reference_normalised_envelope.parquet,10270,25
C05,trial_ffc10db23f,C05/trial_ffc10db23f/reference_normalised_envelope.parquet,68110,25
C05,trial_f1bf10eeea,C05/trial_f1bf10eeea/reference_normalised_envelope.parquet,65940,25
C05,trial_87e976b769,C05/trial_87e976b769/reference_normalised_envelope.parquet,65200,25
C05,trial_b4af0473c9,C05/trial_b4af0473c9/reference_normalised_envelope.parquet,76030,25
C05,trial_5946ca5426,C05/trial_5946ca5426/reference_normalised_envelope.parquet,99650,25
C05,trial_49b3331954,C05/trial_49b3331954/reference_normalised_envelope.parquet,96550,25
C05,trial_1adae32589,C05/trial_1adae32589/reference_normalised_envelope.parquet,73610,25
C05,trial_e8cee506fd,C05/trial_e8cee506fd/reference_normalised_envelope.parquet,73520,25
C05,trial_8cb2e8b62d,C05/trial_8cb2e8b62d/reference_normalised_envelope.parquet,62700,25
C05,trial_9f813fbdc4,C05/trial_9f813fbdc4/reference_normalised_envelope.parquet,62930,25
C05,trial_08e1325ec2,C05/trial_08e1325ec2/reference_normalised_envelope.parquet,70600,25
C05,trial_9da6560057,C05/trial_9da6560057/reference_normalised_envelope.parquet,64480,25
C05,trial_6e22cfc8f7,C05/trial_6e22cfc8f7/reference_normalised_envelope.parquet,67120,25
C05,trial_a11b0b087c,C05/trial_a11b0b087c/reference_normalised_envelope.parquet,50590,25
C05,trial_2723563132,C05/trial_2723563132/reference_normalised_envelope.parquet,70380,25
C05,trial_a76018c70a,C05/trial_a76018c70a/reference_normalised_envelope.parquet,55560,25
C05,trial_29d57eee5a,C05/trial_29d57eee5a/reference_normalised_envelope.parquet,48050,25
C05,trial_a88f4ef7a5,C05/trial_a88f4ef7a5/reference_normalised_envelope.parquet,9330,25
C05,trial_78cba2c582,C05/trial_78cba2c582/reference_normalised_envelope.parquet,9400,25
C05,trial_13bd18cdf3,C05/trial_13bd18cdf3/reference_normalised_envelope.parquet,10930,25
C06,trial_ffc10db23f,C06/trial_ffc10db23f/reference_normalised_envelope.parquet,48400,26
C06,trial_f1bf10eeea,C06/trial_f1bf10eeea/reference_normalised_envelope.parquet,49350,26
C06,trial_87e976b769,C06/trial_87e976b769/reference_normalised_envelope.parquet,48960,26
C06,trial_b4af0473c9,C06/trial_b4af0473c9/reference_normalised_envelope.parquet,60290,26
C06,trial_5946ca5426,C06/trial_5946ca5426/reference_normalised_envelope.parquet,63390,26
C06,trial_49b3331954,C06/trial_49b3331954/reference_normalised_envelope.parquet,69960,26
C06,trial_1adae32589,C06/trial_1adae32589/reference_normalised_envelope.parquet,75440,26
C06,trial_e8cee506fd,C06/trial_e8cee506fd/reference_normalised_envelope.parquet,62280,26
C06,trial_8cb2e8b62d,C06/trial_8cb2e8b62d/reference_normalised_envelope.parquet,62390,26
C06,trial_9f813fbdc4,C06/trial_9f813fbdc4/reference_normalised_envelope.parquet,64730,26
C06,trial_08e1325ec2,C06/trial_08e1325ec2/reference_normalised_envelope.parquet,74530,26
C06,trial_9da6560057,C06/trial_9da6560057/reference_normalised_envelope.parquet,69860,26
C06,trial_6e22cfc8f7,C06/trial_6e22cfc8f7/reference_normalised_envelope.parquet,64970,26
C06,trial_a11b0b087c,C06/trial_a11b0b087c/reference_normalised_envelope.parquet,61630,26
C06,trial_2723563132,C06/trial_2723563132/reference_normalised_envelope.parquet,62750,26
C06,trial_383f3f50f6,C06/trial_383f3f50f6/reference_normalised_envelope.parquet,61050,26
C06,trial_cc14520c6b,C06/trial_cc14520c6b/reference_normalised_envelope.parquet,62150,26
C06,trial_eef4aab155,C06/trial_eef4aab155/reference_normalised_envelope.parquet,9520,26
C06,trial_56af8361a5,C06/trial_56af8361a5/reference_normalised_envelope.parquet,6850,26
C06,trial_9316b4a838,C06/trial_9316b4a838/reference_normalised_envelope.parquet,6120,26
C07,trial_2d8fda059c,C07/trial_2d8fda059c/reference_normalised_envelope.parquet,59980,25
C07,trial_91cbbc0bef,C07/trial_91cbbc0bef/reference_normalised_envelope.parquet,74750,25
C07,trial_236590d739,C07/trial_236590d739/reference_normalised_envelope.parquet,59910,25
C07,trial_b4af0473c9,C07/trial_b4af0473c9/reference_normalised_envelope.parquet,79550,25
C07,trial_5946ca5426,C07/trial_5946ca5426/reference_normalised_envelope.parquet,83740,25
C07,trial_49b3331954,C07/trial_49b3331954/reference_normalised_envelope.parquet,79910,25
C07,trial_1adae32589,C07/trial_1adae32589/reference_normalised_envelope.parquet,63630,25
C07,trial_e8cee506fd,C07/trial_e8cee506fd/reference_normalised_envelope.parquet,80460,25
C07,trial_8cb2e8b62d,C07/trial_8cb2e8b62d/reference_normalised_envelope.parquet,58560,25
C07,trial_9f813fbdc4,C07/trial_9f813fbdc4/reference_normalised_envelope.parquet,81240,25
C07,trial_08e1325ec2,C07/trial_08e1325ec2/reference_normalised_envelope.parquet,62600,25
C07,trial_9da6560057,C07/trial_9da6560057/reference_normalised_envelope.parquet,61610,25
C07,trial_6e22cfc8f7,C07/trial_6e22cfc8f7/reference_normalised_envelope.parquet,63580,25
C07,trial_a11b0b087c,C07/trial_a11b0b087c/reference_normalised_envelope.parquet,50520,25
C07,trial_2723563132,C07/trial_2723563132/reference_normalised_envelope.parquet,65970,25
C07,trial_a76018c70a,C07/trial_a76018c70a/reference_normalised_envelope.parquet,50340,25
C07,trial_29d57eee5a,C07/trial_29d57eee5a/reference_normalised_envelope.parquet,48840,25
C07,trial_eef4aab155,C07/trial_eef4aab155/reference_normalised_envelope.parquet,19060,25
C07,trial_56af8361a5,C07/trial_56af8361a5/reference_normalised_envelope.parquet,14070,25
C07,trial_9316b4a838,C07/trial_9316b4a838/reference_normalised_envelope.parquet,13700,25
